Serial,Inlet Temp,Exhaust Temp,CPU1 Temp,CPU2 Temp,CPU Utilization,IO,MEM,Mean RPM,AFan1,AFan2,AFan3,AFan4,AFan5,AFan6,AFan7,BFan1,BFan2,BFan3,BFan4,BFan5,BFan6,BFan7,AFan1,AFan2,AFan3,AFan4,AFan5,AFan6,AFan7,BFan1,BFan2,BFan3,BFan4,BFan5,BFan6,BFan7,Mean PWM
0,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,37,54,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,25,37,53,50,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,25,37,53,50,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,25,37,53,50,0,0,0,1560,1560,1560,1560,1560,1560,1680,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,25,37,53,49,0,0,0,1560,1560,1560,1560,1560,1560,1680,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,25,37,53,49,0,0,0,1560,1560,1560,1560,1560,1560,1680,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,25,37,53,49,0,0,0,1560,1560,1560,1560,1560,1560,1680,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,37,53,50,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,25,37,53,50,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,25,37,54,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,25,37,53,50,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,25,37,53,50,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,25,37,53,49,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,25,37,61,59,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,25,37,66,64,0,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,25,37,71,69,0.47,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,25,37,75,73,0.47,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,25,37,79,75,0.47,0,0,1551.428571,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1440,1560,1560,1560,0.01,0.05,0.05,0.03,0,0,0,0.03,0.05,0.05,0.03,0,0,0,0.021428571
45,25,37,81,79,0.47,0,0,3557.142857,3960,4680,4680,3840,3120,2520,2400,3840,4800,4320,3960,2880,2760,2040,0.21,0.26,0.26,0.21,0.15,0.12,0.07,0.21,0.26,0.26,0.21,0.15,0.12,0.07,0.182857143
46,24,38,77,80,0.98,0,0,3557.142857,3960,4680,4680,3840,3120,2520,2400,3840,4800,4320,3960,2880,2760,2040,0.28,0.34,0.34,0.28,0.35,0.32,0.26,0.28,0.34,0.34,0.28,0.35,0.32,0.26,0.31
48,23,37,70,72,0.98,0,0,6171.428571,5760,6480,6480,6000,7080,6720,6000,5400,6120,6120,5760,6720,6240,5520,0.27,0.32,0.32,0.29,0.35,0.32,0.27,0.27,0.32,0.32,0.29,0.35,0.32,0.27,0.305714286
